AMOUNT,Code,FacultyUrl,CategoryUrl
1750,ES,enfermeria,experto
1750,ES,educacion,experto
1750,ES,psicologia,experto
2187.5,ES,odontologia,experto
1750,ES,nutricion,experto
1750,ES,medicina,experto
1750,ES,filosofia,experto
1750,ES,fisioterapia,experto
1750,PE,escuela-de-negocios,experto
1750,PE,farmacia,experto
1750,PE,escuela-de-idiomas,experto
1750,PE,enfermeria,experto
1750,PE,educacion,experto
1750,PE,psicologia,experto
2187.5,PE,odontologia,experto
1750,PE,nutricion,experto
1750,PE,medicina,experto
1750,PE,filosofia,experto
1750,PE,fisioterapia,experto
1750,AR,escuela-de-negocios,experto
1750,AR,farmacia,experto
1750,AR,escuela-de-idiomas,experto
1750,AR,enfermeria,experto
1750,AR,educacion,experto
1750,AR,psicologia,experto
2187.5,AR,odontologia,experto
1750,AR,nutricion,experto
1750,AR,medicina,experto
1750,AR,filosofia,experto
1750,AR,fisioterapia,experto
1750,CO,escuela-de-negocios,experto
1750,CO,farmacia,experto
1750,CO,escuela-de-idiomas,experto
1750,CO,enfermeria,experto
1750,CO,educacion,experto
1750,CO,psicologia,experto
2187.5,CO,odontologia,experto
1750,CO,nutricion,experto
1750,CO,medicina,experto
1750,CO,filosofia,experto
1750,CO,fisioterapia,experto
1750,MX,escuela-de-negocios,experto
1750,MX,farmacia,experto
1750,MX,escuela-de-idiomas,experto
1750,MX,enfermeria,experto
1750,MX,educacion,experto
1750,MX,psicologia,experto
2187.5,MX,odontologia,experto
1750,MX,nutricion,experto
1750,MX,medicina,experto
1750,MX,filosofia,experto
1750,MX,fisioterapia,experto
1450,ES,fisioterapia,grado
1450,ES,medicina,grado
1450,ES,nutricion,grado
1450,ES,psicologia,grado
1812.5,ES,odontologia,grado
1450,ES,educacion,grado
1450,ES,enfermeria,grado
1450,ES,escuela-de-idiomas,grado
1450,ES,farmacia,grado
1450,ES,escuela-de-negocios,grado
1450,ES,filosofia,grado
1450,PE,fisioterapia,grado
1450,PE,medicina,grado
1450,PE,nutricion,grado
1450,PE,psicologia,grado
1812.5,PE,odontologia,grado
1450,PE,educacion,grado
1450,PE,enfermeria,grado
1450,PE,escuela-de-idiomas,grado
1450,PE,farmacia,grado
1450,PE,escuela-de-negocios,grado
1450,PE,filosofia,grado
1450,AR,fisioterapia,grado
1450,AR,medicina,grado
1450,AR,nutricion,grado
1450,AR,psicologia,grado
1812.5,AR,odontologia,grado
1450,AR,educacion,grado
1450,AR,enfermeria,grado
1450,AR,escuela-de-idiomas,grado
1450,AR,farmacia,grado
1450,AR,escuela-de-negocios,grado
1450,AR,filosofia,grado
1450,CO,fisioterapia,grado
1450,CO,medicina,grado
1450,CO,nutricion,grado
1450,CO,psicologia,grado
1812.5,CO,odontologia,grado
1450,CO,educacion,grado
1450,CO,enfermeria,grado
1450,CO,escuela-de-idiomas,grado
1450,CO,farmacia,grado
1450,CO,escuela-de-negocios,grado
1450,CO,filosofia,grado
1450,MX,fisioterapia,grado
1450,MX,medicina,grado
1450,MX,nutricion,grado
1450,MX,psicologia,grado
1812.5,MX,odontologia,grado
1450,MX,educacion,grado
1450,MX,enfermeria,grado
1450,MX,escuela-de-idiomas,grado
1450,MX,farmacia,grado
1450,MX,escuela-de-negocios,grado
1450,MX,filosofia,grado
3900,MX,filosofia,master
3900,MX,escuela-de-negocios,master
3900,MX,farmacia,master
3900,MX,escuela-de-idiomas,master
3900,MX,enfermeria,master
3900,MX,educacion,master
4875,MX,odontologia,master
3900,MX,psicologia,master
3900,MX,nutricion,master
3900,MX,medicina,master
3900,MX,fisioterapia,master
3900,CO,filosofia,master
3900,CO,escuela-de-negocios,master
3900,CO,farmacia,master
3900,CO,escuela-de-idiomas,master
3900,CO,enfermeria,master
3900,CO,educacion,master
4875,CO,odontologia,master
3900,CO,psicologia,master
3900,CO,nutricion,master
3900,CO,medicina,master
3900,CO,fisioterapia,master
3900,AR,filosofia,master
3900,AR,escuela-de-negocios,master
3900,AR,farmacia,master
3900,AR,escuela-de-idiomas,master
3900,AR,enfermeria,master
3900,AR,educacion,master
4875,AR,odontologia,master
3900,AR,psicologia,master
3900,AR,nutricion,master
3900,AR,medicina,master
3900,AR,fisioterapia,master
3900,PE,filosofia,master
3900,PE,escuela-de-negocios,master
3900,PE,farmacia,master
3900,PE,escuela-de-idiomas,master
3900,PE,enfermeria,master
3900,PE,educacion,master
